,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
161,-1.75,1.75,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
162,-1.75,1.75,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
163,-2.62,2.12,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
164,-2.62,2.12,-0.81,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
165,-2.62,2.12,-0.81,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
166,-2.62,2.12,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
167,-1.81,3.19,-0.44,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
168,-1.81,3.19,-0.44,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
169,-1.81,3.19,-0.44,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
170,-1.81,3.19,-0.44,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
171,-2.56,1.44,-1.19,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
172,-2.56,1.44,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
173,-2.56,1.44,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
174,-2.56,1.44,-1.19,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
175,-2.62,4.12,-0.81,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
176,-2.62,4.12,-0.81,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
177,-2.62,4.12,-0.81,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
178,-2.62,4.12,-0.81,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
179,-2.19,3.44,-1.25,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
180,-2.19,3.44,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
181,-2.19,3.44,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
182,-2.19,3.44,-1.25,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
183,-0.94,4.12,-0.81,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
184,-0.94,4.12,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
185,-0.94,4.12,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
186,-0.94,4.12,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
187,-1.75,1.75,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
188,-1.75,1.75,-1.19,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
189,-1.75,1.75,-1.19,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
