,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
52,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.47,-3.19,0.12,-0.71,0.01,0.67,0.24,573277.0,7537.0,W,2.182654489,-1.507391162,1.649713615,2.985325907,-2.09774487,-1.304200892,0.0,0.0,0.0,-0.01095238095238093,0.0,-0.006428571428571429
53,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.93,-3.19,-0.15,-0.71,0.01,0.67,0.24,573319.0,7579.0,W,1.858008308,-1.899440123,1.241748787,2.82452582,-2.321634731,-1.625462665,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.08,-0.04,0.11,99.5,-125.19,19.13,-9.93,-3.19,-0.15,-0.71,0.01,0.67,0.24,573361.0,7621.0,W,1.603022275,-2.321231203,0.806780475,2.607651258,-2.600426018,-1.975321927,0.0,0.0,0.0,-0.08465116279069769,-0.04093023255813954,0.019767441860465116
55,-0.08,-0.04,0.11,99.5,-125.19,19.13,-13.57,-4.95,0.7,-0.71,0.01,0.67,0.24,573404.0,7664.0,W,1.390965038,-2.762560517,0.353386676,2.349908062,-2.905866327,-2.349912359,0.005581395348837209,-0.061395348837209304,0.1369767441860465,0.0,0.0,0.0
56,0.16,-2.68,6.0,99.5,-125.19,19.13,-13.57,-4.95,0.7,-0.71,0.01,0.67,0.24,573447.0,7707.0,W,1.190805105,3.067888213,-0.110127572,2.060923544,3.056903066,-2.744373551,0.0,0.0,0.0,0.1178048780487805,-0.24853658536585368,-0.15804878048780488
57,0.16,-2.68,6.0,99.5,-125.19,19.13,-8.74,-15.14,-5.78,-0.71,0.01,0.67,0.24,573488.0,7748.0,W,0.980749282,2.610595314,-0.576063714,1.739442643,2.72869411,3.132268049,0.0,0.0,0.0,0.04904761904761906,0.15404761904761907,0.12142857142857144
58,0.16,-2.68,6.0,99.5,-125.19,19.13,-6.68,-8.67,-0.68,-0.71,0.01,0.67,0.24,573530.0,7790.0,W,0.753822721,2.154925737,-1.037333707,1.315255685,2.398871962,2.723065644,0.0,0.0,0.0,0.07404761904761904,0.008333333333333325,-0.03476190476190476
59,0.16,-2.68,6.0,99.5,-125.19,19.13,-3.57,-8.32,-2.14,-0.71,0.01,0.67,0.24,573572.0,7832.0,W,0.516384032,1.700599075,-1.492477555,-1.707518509,2.073083231,2.319317728,0.0,0.0,0.0,-0.050749999999999997,0.06700000000000002,0.0030000000000000027
60,0.16,-2.68,6.0,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573612.0,7872.0,W,0.290722496,1.241523867,-1.944517073,-2.184423214,1.751912961,1.932997725,0.016046511627906976,0.09255813953488373,-0.22046511627906978,0.0,0.0,0.0
61,0.85,1.3,-3.48,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573655.0,7915.0,W,0.117228341,0.772030756,-2.395536805,-2.517149753,1.425787386,1.562322679,-0.008536585365853657,-0.0046341463414634135,-0.0017073170731707278,0.0,0.0,0.0
